"UMKM Name","Product","Asset Total (Rp. Juta)","Annual Sales (Rp. Juta)","Employees","Survey Conducted","","","","","",""
"","","","","","","","","","","",""
"Kios Peracangan","Pupuk","361","325","1","2012","","","","","",""
"CANDRA KIRANA","Rumah Makan Ikan Bakar","883","339.99","15","2011","","","","","",""
"Kangkung Gn IV","Kebun","201.7","3","2","2013","","","","","",""
"Petani Karet","Perkebunan Karet","22.5","9","1","2014","","","","","",""
"Pekebun","Tanah Palawija","91.1","44.4","1","2014","","","","","",""
"Petani Gambas","Petani Gambas","71.03","17","4","2014","","","","","",""
"Pekebun","Tanam Palawija","91.1","44.4","1","2014","","","","","",""
"Petani Cabe Keriting","Cabe Kecil","65.35","44.5","4","2014","","","","","",""
"Kelompok Ternak Kambing Jawa Randi","Kambing","43","24","20","2012","","","","","",""
"Nelayan Ikan","Perikanan","31.2","15","2","2014","","","","","",""
"Tanaman Hias","Produksi Tanaman Hias Dan Mediasi","27","104","3","2012","","","","","",""
"Yusri","Udang Dan Ikan","82","80","2","2011","","","","","",""
"Syahrial","Budidaya Ayam Siam","9","13","1","2011","","","","","",""
"Ibrahim","Jualan Ikan","10","22","1","2011","","","","","",""
"M.Daud","Budidaya Lembu","23","340","1","2011","","","","","",""
"M.Jamal B","Giling Bumbu","17","200","2","2011","","","","","",""
"Jayusman","Pakan Ternak","9","84","1","2011","","","","","",""
"Yusdar Hamid","Soevenir","10","189","3","2011","","","","","",""
"Zulkifli","Air Tebu","5","48","2","2011","","","","","",""
"Zulkifli","Pertanian Sayuran","5","1","3","2011","","","","","",""
"Usman Ali","Pertanian Sayuran","652","7","2","2011","","","","","",""
"Syamsudin M.Ali","Pertanian Sayuran","501","14","3","2011","","","","","",""
"Pembesaran Ikan Pak Habib","Pembesaran Ikan Nila","3,368","7,000","1","2012","","","","","",""
"Tembakau Rajang Sulardi","Tembakau Potong","24,500,000","290.5","2","2011","","","","","",""
"Saryadi Puyuh","Ternak Puyuh","21,950,000","172.44","1","2011","","","","","",""
"Bibit Kates Suryono","Bibit Pepaya","47,000,000","117","2","2011","","","","","",""
"Pembibitan Dan Pembesaran Nila Suparto","Pembibitan Nila","3,798","7,920","2","2012","","","","","",""
"Pembesaran Ikan Nila ""Suparno""","Pembesaran Ikan Nila","2,361","7,200","1","2012","","","","","",""
"Pembibitan Ikan Nila Pak Khoirul","Pembibitan Ikan","428","4,596","3","2012","","","","","",""
"Budidaya Ikan Lele ""Susilo""","Budidaya Ikan Lele","7,450","17,780","1","2012","","","","","",""
"Budidaya Ikan Lele ""Bakdi Royani""","Pembesaran Lele","1,030","1,452","1","2012","","","","","",""
"Pembesaran Nila ""Zubaidi""","Pembesaran Nila","2,679","4,955","1","2012","","","","","",""
"Keramik ""Usman""","Pembuatan Keramik","580","1,980","1","2012","","","","","",""
"Keramik ""Eko Tri""","Pembuatan Keramik","940","3,540","2","2012","","","","","",""
"Budidaya Ikan Nila Merah ""Dulkayi""","Budidaya Ikan Nila Merah","1,170","9,510","4","2012","","","","","",""
"Mina Lancar","Budidaya Ikan Nila Merah","1,010","9,510","4","2012","","","","","",""
"Muhammad Irfan","Budidaya Jamur","56","135.6","5","2009","","","","","",""
"Sri Unggul Barokah","Pertanian Sawah","64","27","5","2013","","","","","",""
"USAHA PENGASINAN IKAN","PENGASINAN IKAN","6","126","7","2012","","","","","",""
"Not Available","Budidaya Ikan Gurame","20","250","0","2011","","","","","",""
"USAHA KARTUN BEKAS","KARTON","5","30","1","2012","","","","","",""
"USAHA PENGASINAN IKAN","PENGASINAN IKAN","5","90","8","2012","","","","","",""
"Usaha Pengeringan Ikan","Pengeringan Ikan","3.5","48","2","2012","","","","","",""
"BERKAT","DAGANG IKAN","75.5","36","3","2010","","","","","",""
"Kolam Ikan","Kolam Ikan","156","78","1","2009","","","","","",""
"Pabrik Penggilingan Padi","Usaha Penggilingan Padi","575","120","4","2009","","","","","",""
"Depot Kembang 3 Bersaudara","Usaha Penjualan Tanaman","634","400","2","2010","","","","","",""
